text,intent
What argument did M/s Thermax Ltd. present regarding the classification of their product?,2
How to file a case for custody?,0
What was the Supreme Court's interpretation of the remand period computation under Section 167(2) of the CrPC?,0
What was the outcome of the applications for directions filed in this case?,1
What was the High Court's decision regarding Shaikh Istiyaq Ahmed's sentence?,0
What is done by the Parliament by law in terms of seat allocation and territorial constituency division for each State after each census?,1
Who facilitated the mediation efforts in the case Anu Bhandari vs. Pradip Bhandari?,1
"What could cause the persistent default, negligence in duties, committing acts prejudicial to the interests of the co-operative society or its members, stalemate in the constitution or functions of the board, or failure to conduct elections in accordance with the provisions of the State Act under clause (2) of Article 243-ZK by the authority or body as provided by the Legislature of a State?",1
What was the Supreme Court's final decision regarding the FIR against Geo Varghese?,0
Clarifying: Why did the Supreme Court reject the 12% cumulative increase applied by the High Court?,1
What was the Supreme Court's final decision in the case of Sandeep Kumar vs. The State of Haryana & Anr.?,1
How should the government balance the need for housing for serving officers with the humanitarian concerns for displaced persons?,0
"What were the key components introduced by the Constitution (Ninety-Seventh Amendment) Act, 2011?",1
What was the amount of loan granted by the Orissa State Financial Corporation to Prasanta Kumar Mohapatra?,1
What was the main issue in the case of The Greater Mohali Area Development Authority vs. Arminderjit Kaur & Anr.?,1
What was the main legal issue in the case of Municipal Corporation of Greater Mumbai vs M/s. Sunbeam High Tech Developers Private Ltd.?,1
What preventive measures did the Supreme Court direct the State Governments to take regarding honour crimes?,1
What was the Supreme Court's view on the locus standi of the subsequent purchaser to challenge the acquisition?,1
What was the Supreme Court's view on the Committee's refusal to verify Aruna's caste certificate?,1
What incident led to the conviction and sentencing of Balwant Singh?,0
What instructions did the Supreme Court give to the trial court regarding further proceedings?,1
What was the role of Gangabishan @ Vishnu in the incident?,0
Who has to recommend to the House the consideration of a Bill involving expenditure from the Consolidated Fund of India before it can be passed by either House of Parliament?,1
What was the decision of the trial court regarding the application under Order 1 Rule 10 CPC in the case Sudhamayee Pattnaik and Others vs. Bibhu Prasad Sahoo and Others?,1
What was the context of the FIRs and complaints against Navika Kumar?,0
What was the final decision of the Supreme Court regarding Jatinder Kumar's appeal?,0
What was the High Court's reasoning for allowing the writ petition and directing the State to pay pensions?,1
How did the Special Court view the appellants' claim of ownership and the location of the land?,1
What was the argument of the Principal Commissioner of Income Tax regarding the deductions?,2
What did the Supreme Court conclude about the discretionary power under Section 125 of the Customs Act?,0
What was the Supreme Court's decision regarding the High Court's judgement on the distinction between a party to a suit and a witness?,1
What did the Supreme Court find problematic about the trial court's handling of the mental health evidence?,1
How did the High Court rule on Babasaheb Maruti Kamble's appeal and the death sentence confirmation?,0
What reservations does the law provide for on the board of a co-operative society?,1
What was the outcome of the initial altercation between Hansaram and Ram Kumar Sahu?,0
What did the Supreme Court direct regarding Ankur Gupta's appointment as a Postal Assistant?,1
What was the High Court's decision regarding the conviction of the accused?,0
What was the decision of the High Court of Gauhati in the review petition filed by Tirtha Sarathi Mukherjee?,1
"Which part of the constitution specifies that an autonomous state can be formed in Assam, comprising all or any of the tribal areas?",1
What direction did the Supreme Court give to the trial court regarding the decree?,1
Rules regarding rent 2024.,1
What was the Supreme Court's decision regarding the award of back-wages to the appellant?,1
What was the High Court's decision in the second appeal filed by Amarjit Singh?,1
"Who should the Governor and every person discharging the functions of the Governor make and subscribe an oath or affirmation in the presence of before entering upon his office, and what should this oath or affirmation entail?",0
What were the respondents accused of in this case?,0
What was the Supreme Court's finding regarding the delay in filing the complaint?,1
Who needs to communicate the decision of issuing a Proclamation in writing to the President?,2
What happens to a Proclamation approved under clause (4) after a period of six months from the date of the passing of the second of the resolutions approving it?,1
What implications does this judgment have for future departmental promotions?,0
What steps should candidates take to ensure compliance with election affidavit requirements?,0
What is Andhra Pradesh Act XXI of 1961?,1
What happens if costs are incurred in excess while carrying out a direction given to a State?,1
Who chooses the Vice-Chairperson of the Goods and Services Tax Council?,2
What is the state associated with the number 1?,1
What was the Supreme Court's decision on the appeal filed by Deepak Gaba and others?,0
"Which article of the Constitution of India provides the Supreme Court the power to review any judgment pronounced or order made by it, subject to the provisions of any law made by Parliament or any rules made under article 145?",1
What was the basis of the High Court's conviction of Ravinder Singh @ Kaku?,1
Namaste,3
Did the Supreme Court find the classification between 'Pushtaini' and 'Gair-pushtaini' landholders justified?,1
What were the main arguments presented by the State of Rajasthan and RIICO in the Supreme Court?,1
What factors did the Supreme Court consider to determine if the offence involved moral turpitude?,0
"What was the status of the second alleged eyewitness, PW-3, in this case?",0
What was the appellant's argument regarding the application filed by the landlord for personal cultivation?,1
What does the reference in articles 219 and 229 refer to?,1
What incident led to the legal proceedings in the case of Santosh Devi and Ors vs. Mahaveer Singh and Ors?,0
What was the appellant's response to the allegations made by the Labour Enforcement Officer?,2
What was the Supreme Court's decision regarding the transfer of the investigation to the CBI?,0
What was the stance of the State of Jharkhand regarding the preparation of the First Register?,0
What did the High Court record about the appointed advocate's arguments?,0
What was the Supreme Court's observation regarding the nature of the injuries sustained by Santu (PW-2)?,1
How did the Supreme Court rule regarding the connection between the property and the person to whom SAFEMA applies?,1
"What was the decision of the Customs, Excise and Service Tax Appellate Tribunal (CESTAT) regarding the appeal filed by the Commissioner of Central Excise?",1
What did the Supreme Court conclude about the application of Section 34 IPC in this case?,0
Why did the Supreme Court emphasize the plain and literal interpretation of statutes in this case?,1
What legal provisions did the Supreme Court examine to determine the applicability of the Limitation Act to the Himachal Pradesh Value Added Tax Act?,1
What was the Central Bureau of Investigation's argument against granting bail to the accused?,0
What was the Supreme Court's final decision regarding the appeal?,1
What was the Supreme Court's observation regarding the High Court's decision to cancel the bail?,0
What was the High Court's decision regarding the classification of MFDs?,1
When does a Proclamation continue in force?,1
"What action can the administrator take in the Union territory of Puducherry during the recess of Legislature when immediate action is necessary, and what approval is required for this?",1
What procedural direction did the Supreme Court give concerning the interpretation of ambiguous policy terms?,1
What was the outcome of the pending applications related to the case of Bikash Manna?,1
What did the Supreme Court conclude regarding the reduction of the mining area and the proximity to Singotham Lake?,1
What should universities consider when forming Selection Committees based on this judgment?,1
What was the Supreme Court's decision regarding the maintainability of the writ petition?,1
Why did the Supreme Court find the relief sought by Asok Pande to be misconceived?,1
How did the learned Rent Controller rule on the application for leave to defend?,1
How did the Supreme Court address the issue of uniform remission policies versus individual case reviews?,1
Who appoints the State Election Commissioner?,1
What was the main issue in the OLX India B.V. vs. State of Haryana & Ors. case?,1
Who has the authority to withdraw an Ordinance at any time?,1
How did the court address the defense's claim of fabricated evidence in the State of Maharashtra vs. Surendra Pundalik Gadling & Ors. case?,0
"What is the oath that states 'I, A.B., do swear in the name of God that I will not directly or indirectly communicate or reveal to any person or persons any matter which shall be brought under my consideration or shall become known to me as a Minister for the Union except as may be required for the due discharge of my duties as such Minister'?",1
Can a person accused of any offence be compelled to testify against themselves?,1
Who were the testators and what were the contents of their Wills?,1
"What led to the altercation between Nirmala Devi and the deceased, Mast Ram?",0
What was the dispute in the case Jaipur Zila Dugdh Utpadak Sahkari Sangh Limited vs. Ajay Sales Suppliers?,1
Who levies and collects taxes on entertainments and amusements?,1
What did the Supreme Court conclude regarding the applicability of the exemption under Section 3(1)(b) of the Kerala Building Tax Act?,1
What were the key contradictions in the prosecution's case as noted by the Supreme Court?,0
What was the National Green Tribunal's ruling regarding the invocation of the bank guarantees?,2
What were the main charges against Santosh @ Bhure and Neeraj in this case?,0
"Who were the persons appointed by the Secretary of State or Secretary of State in Council to a civil service of the Crown in India before the commencement of this Constitution and continued to serve or retired before the commencement of the Constitution (Twenty-eighth Amendment) Act, 1972?",1
"What happens to municipalities in force inconsistent with the Constitution (Seventy-fourth Amendment) Act, 1992?",1
What was the relationship between Nirmala Devi and the deceased?,0
What is the provision for instruction in mother-tongue at primary stage of education according to the excerpt?,1
What was the Supreme Court's observation regarding the evidence provided by the prosecution?,0
What was the trial court's decision regarding the properties in dispute?,1
How is 'Municipality' defined in Part IXA THE MUNICIPALITIES?,1
What are some disqualifications for membership to the Legislative Assembly or Legislative Council of a State?,1
What was the primary legal issue in the case of Gyan Prakash Arya vs. M/s Titan Industries Limited?,2
How did the first appellate court rule on the relationship between the plaintiffs and Jagan Nath?,0
What was the outcome of the appeals filed by both parties under Section 37 before the Division Bench?,0
What position was held by the person who is an exception to the sub-paragraph (2) regarding the official residence at the time of the commencement of the Constitution?,1
What is the primary legal issue in the case M/S Modi Naturals Ltd vs. The Commissioner of Commercial Tax UP?,1
What impact might the Supreme Court's ruling have on future cases involving minor offences?,0
What was the decision of the Central Administrative Tribunal (CAT) in the Dewan Chand case?,0
What was the outcome of the initial complaint filed by the second respondent under Section 138 of the NI Act?,0
What is the regional council for the Tuensang district composed of?,1
What was the decision of the Trial Court regarding the pre-emption suit filed by the appellants?,1
What was the decision of the Gujarat High Court regarding the application under Article 227 of the Constitution filed by Arcelor Mittal?,1
Who arranges for an equitable allocation of the money provided by the Government of India between the Tuensang district and the rest of the State of Nagaland?,1
What actions should the State take to organise agriculture and animal husbandry on modern and scientific lines according to the Constitution of India?,1
What does candidate A.B. swear to uphold when nominated to fill a seat in the Council of States or the House of the People in India?,1
What happens if someone does company?,2
What were the challenges identified by the Court regarding the implementation of the BOCW Act?,1
What additional legal case was filed against Jose Antonio Zalba Diez Del Corral by his wife?,1
What did the Supreme Court say about the nature of an ex parte decree?,1
Who is vested with the administration of an autonomous region?,1
How did the Supreme Court view the alleged motive of Ramveer being unhappy with his wife?,0
What was the Supreme Court's directive regarding the second respondent's bail in this case?,1
What impact did the decision in Shatrughan Chauhan v. Union of India have on the procedural requirements for death sentence cases?,0
What was the petitioner's second argument regarding the death sentence?,0
What were the charges against Satya Deo in the case of Satya Deo @ Bhoorey vs. State of Uttar Pradesh?,0
What is the area of operation for a 'State level co-operative society' and how is it defined?,1
What principle did the Supreme Court rely on in deciding whether the High Court should have entertained the application for revocation of leave?,1
What was the primary legal issue in the case of Commissioner of Income Tax-I vs. M/s Rashtradoot (HUF)?,1
What was the Supreme Court's decision regarding the appeal filed by M/s TRL Krosaki Refractories Ltd.?,1
How long can the extension of the holding of elections last during a Proclamation of Emergency?,1
"What financial assistance was granted to M/s. Sri Vishnupriya Industries Limited by the appellant, IDBI?",1
How did the Sessions Judge rule on Surendran's appeal?,0
What are the key components of the Grievance Redressal Mechanism in the Master Circular?,0
What was the main incident leading to the case of Radhey Shyam & Ors. vs. State of Rajasthan?,0
"What is the minimum proportion of seats reserved for women in a Municipality, and how are these seats distributed among the Scheduled Castes, Scheduled Tribes, and general category?",1
What is required for a Bill to be passed by the Houses of the Legislature of a State having a Legislative Council?,1
What was the Union of India's counter-argument regarding the eligibility of the appointed judges?,1
What was the decision of the High Court in this case?,1
What did the Division Bench decide regarding the appellants' claim for compensation?,1
What are pilgrimages other than pilgrimages to places outside India?,1
What was the Supreme Court's view on the connection between the purchase of medicines and the incident?,0
What was the main issue in the case of Netram Sahu vs. State of Chhattisgarh & Anr.?,1
How did the High Court justify the acquittal of Jatinder Kumar's mother and brothers?,1
Why did the Supreme Court not interfere with the High Court's decision?,1
What was the Tribunal's decision regarding the compensation claim?,1
What was the decision of the Trial Court regarding the appellant's request for an extension of time to pay the balance of the sale consideration?,1
How did the Supreme Court address the issue of the 'true copy' of the election petition served on Patel Ahmed Mohammad?,1
What specific direction did the Supreme Court give regarding future vacancies for the appellant Karshanbhai Ramjibhai Jaladiya?,1
"What is promoted by the endeavour that aims to encourage international peace and security, just and honourable relations between nations, respect for international law and treaty obligations in the dealings of organised peoples with one another, and the settlement of international disputes by arbitration?",2
How did the Supreme Court address the appellant's claim of conspiracy and tutoring in the dying declaration?,1
What was the outcome of the inquiry conducted regarding Khilendra Singh's caste status?,1
What did the Supreme Court emphasize about the standard of proof in contempt proceedings?,0
"Which body has exclusive power to make any law with respect to any matter not enumerated in the Concurrent List or State List, and can impose a tax not mentioned in either of those Lists, according to the constitution?",1
"Do the Supreme Court or any other court have jurisdiction in respect of any dispute or matter arising out of any treaty, agreement, engagement or other similar instrument relating to Sikkim?",1
What was the Supreme Court's view on the High Court's decision to not cancel the default bail?,0
What did the Supreme Court decide regarding the levy of betterment charges by BIAAPA?,1
Did the Supreme Court find any procedural irregularities in the handling of the seized contraband?,1
What does Parliament declare to be incidental to the ordinary functions of Government that exempts it from the Union imposing tax on a state's trade or business?,1
Why did Mafaji Motiji Thakor (MMT) challenge the sale of the land to Pruthvirajsinh Nodhubha Jadeja?,1
Why did the Supreme Court modify Rakesh Tiwari's sentence instead of completely overturning it?,0
What was the primary legal issue in the case of Swaminathan Kunchu Acharya vs State of Gujarat & Ors.?,1
What was the incident that led to the charges against respondent no.2?,0
What instructions did the Supreme Court give regarding the trial of respondent No. 2 in the case of Bohatti Devi vs. The State of Uttar Pradesh & Anr.?,1
What did the High Court of Delhi order regarding the custody of Nethra?,0
What were the orders of the Rajasthan High Court that Pyarelal challenged in the Supreme Court?,1
yo,3
What was the evidence presented by the plaintiff to support his claim of minority?,1
Procedure to apply for agreement.,2
What does the Supreme Court's judgment imply for similar cases involving temporary employees seeking regularization?,1
What districts are specified in Part I of the table?,1
What was the Supreme Court's recommendation to the legislature regarding honour crimes?,1
What was the sole ground on which the High Court allowed the writ petition in the Mahesh Kumar Agarwal case?,1
On what grounds did the Directorate of Enforcement freeze the appellant's bank accounts?,0
What legal principle did the Supreme Court rely on to set aside the High Court's decision?,1
What was the final outcome of the Supreme Court's judgment in this case?,1
What would be the implications for Gurwinder Singh if the bail were granted in the context of influencing witnesses?,0
What procedural issue did the High Court find in the Committee's decision-making process for fee fixation?,1
Can a direction given by the Governor under clause (a) of sub-paragraph (1) have retrospective effect?,1
What was the decision of the Trial Court regarding Rajendra Bhagat?,0
What does the State endeavour to promote for co-operative societies?,1
What did the appellant do after the cheques were dishonored in the case of M/S. Sicagen India Ltd. vs. Mahindra Vadinei & Ors.?,2
What was the outcome of the initial appeal filed by Damodar Valley Corporation to the Appellate Tribunal?,0
Who prescribes the conditions of service of officers and servants of a High Court?,1
What were the circumstances of the crime committed by Anand Kindo and his accomplice in The State of Haryana vs. Anand Kindo & Anr.?,0
What was the appellant's argument regarding the commencement of the limitation period for filing objections under Section 34?,0
What might be the impact of this judgment on future disputes involving electricity tariffs and related costs?,0
What can the President do regarding the application of an Act of Parliament to an autonomous district or an autonomous region in the State of Meghalaya?,1
What was the Supreme Court's directive concerning the appeals filed by the State of Haryana?,1
What was the final outcome of the Supreme Court's decision in this case?,1
What was the primary issue in the case of National Highways Authority of India v. M/s. Progressive Construction Ltd. decided on 12th February 2021?,2
My neighbor is involved in jail.,0
What did the Executing Court decide regarding the objections raised by the judgment debtors?,0
What assurance did the Advocate General of the State give to the Supreme Court regarding the arrears?,1
What was the trial court's verdict regarding Vijay Kumar's guilt and sentencing?,0
What were the allegations made against Sanjay Kundu in the case?,0
What was the reasoning of the High Court for reversing the trial court's acquittal of Hemudan Nanbha Gadhvi?,0
What were the findings of the Motor Accident Claims Tribunal regarding the driving licence of Singh Ram?,0
What was the Supreme Court's view on the equivalency of the Certificate of Competency issued by the Maritime and Port Authority of Singapore?,1
What was the prosecution's argument regarding the High Court's decision in State of Kerala vs. Rajesh?,0
What were the key allegations made by Dr. Naresh Kumar Mangla in the FIR?,0
What were the circumstances of the incident that led to the registration of the FIR in the case of Girraj vs Kiranpal and Others?,0
What can an order made under clause (3) of The Constitution of India authorize the Administrative Tribunal to do?,1
What impact does this judgment have on future cases involving non-disclosure of investigation reports?,0
"Who was the key witness in the case, and what did he testify?",0
What is the State's policy on the distribution of material resources?,1
"What does the 'Salaries and allowances of members of the Legislature of the State, of the Speaker and Deputy Speaker of the Legislative Assembly and, if there is a Legislative Council, of the Chairman and Deputy Chairman thereof' refer to?",1
What actions did the Supreme Court order to ensure Naveen Sharma's compliance with the punishment in the case of Meenal Bhargava vs. Naveen Sharma & Ors.?,0
Who is the Contingency Fund of the State placed at the disposal of?,1
What power does the Parliament have regarding the Constitution?,1
How did the High Court respond to the appeal filed by Anees?,0
What is the procedure after assault?,0
What was the Supreme Court's decision regarding the adequacy of the trial conducted by the lower courts?,1
What was the final decision of the Supreme Court regarding the compounding of offences under Section 24A of the SEBI Act?,0
Where is the freedom of speech granted according to the constitution?,1
How is the number of votes each elected member of Parliament and of the Legislative Assembly of each State determined at the election of the President?,1
What were the charges against Kallu Khan in this case?,0
What was the factual background of the case involving Arnab Manoranjan Goswami?,1
How might this judgment influence the legal approach to cases involving celebrities and public figures?,0
What is the process for determining the salaries and allowances of Ministers?,1
What was the primary concern of M/s Neeharika Infrastructure Pvt. Ltd. regarding the High Court's order?,0
What was the final decision of the Supreme Court regarding the appellant's bail?,1
What were the grounds for Anita Rani's first suit in Civil Suit No. 15643 of 2007?,0
What is the significance of Section 45-IA of the RBI Act in the context of this case?,2
What was the prosecution's case in the incident leading to the death of Ladduram in Arvind Kumar @ Nemichand & Ors. vs. State of Rajasthan?,0
What was the final decision of the Supreme Court of India regarding Abu Salem's appeal?,1
"Which section of the Constitution of India pertains to the powers, privileges and immunities of each House of Parliament and of the members and the Committees of each House; enforcement of attendance of persons for giving evidence or producing documents before committees of Parliament or commissions appointed by Parliament?",1
What tax does the 85th item in the Indian Constitution discuss?,1
What was the High Court's finding regarding the presence of the appellants during the time of Sahitya's death?,0
What was the primary legal issue in the case Food Corporation of India & Ors. vs. Abhijit Paul?,2
"What does 243-ZR specify should be the interpretation of 'Legislature of a State', 'State Act' or 'State Government' in the context of multi-State co-operative societies?",1
What should legal practitioners consider when handling cases involving juvenile offenders under the Juvenile Justice Act?,0
What was the primary issue in the case of M/s Tamil Nadu State Marketing Corporation Ltd. v. Union of India & Ors. decided on 25th November 2020?,1
What is the Madhya Pradesh Act 1 of 1984?,1
What should plaintiffs consider when filing suits for damages to comply with court fee requirements?,1
What was the main request made by Harita Sunil Parab in her transfer petitions?,0
What did the High Court decide on the appeal by Siddamsetty Infra Projects Pvt. Ltd.?,1
What was the factual background of the lease agreement in this case?,0
What was the Supreme Court's view on the injuries caused to Chinnappa Gounder?,0
What did the Supreme Court emphasize about the power under Section 319 CrPC in the case of Sartaj Singh vs State of Haryana & Anr.?,1
What were the respondents convicted of in the case of State of Punjab vs Rakesh Kumar?,0
What can an Act made by Parliament or the Legislature of a State provide for Public Service Commissions?,1
Who can make modifications to an Act of Parliament's application to an autonomous district or an autonomous region in the State of Mizoram?,1
How did the Supreme Court rule on the High Court's decision?,1
Under what conditions can the five year period of the Assembly be extended?,1
What did the Supreme Court conclude about the High Court's judgment in this case?,1
"Who has the constitutional authority in India to prorogue the Houses or either House, and dissolve the House of the People?",1
How did the defence challenge the prosecution's case in the Surajdeo Mahto and Anr. vs The State of Bihar judgement?,0
What was the Supreme Court's final ruling in the case of Vedanta Limited vs The State of Tamil Nadu & Ors?,1
What was the final ruling of the Supreme Court in this case?,1
What was the Supreme Court's decision regarding the impugned orders?,0
"How is 'three years' in the first proviso of the Proclamation issued on the 11th day of May, 1987 with respect to the State of Punjab to be construed?",0
What constitutional principles did the Supreme Court emphasize in its decision?,1
"What changes were made to the privy purses as per the Constitution (Twenty-sixth Amendment) Act, 1971?",1
Explain the law about contract.,2
What was the High Court's reason for quashing the process issued by the Trial Court?,0
How did the Supreme Court view the issue of criminality in this case?,0
"Which list and point covers evidence and oaths; recognition of laws, public acts and records, and judicial proceedings?",1
What was the final decision of the Supreme Court regarding the refund claim of Western Coalfields Ltd.?,1
What did the Trial Court decide regarding the status of marriage of Respondent No. 2 and Appellant No. 2 with Muthusamy Gounder?,1
What was the outcome of the auction held by the Cooperative Bank?,1
What was the decision of the High Court regarding the appointment of the Headmaster by the minority educational institution?,1
What was the main challenge laid by the petitioners in the case?,1
What did the Supreme Court ultimately decide regarding the appeals filed by the State of Rajasthan?,1
What does 'State' include in clauses (a) to (e)?,1
How much payment had the appellants made to the respondent-developer by 23rd June 2014?,2
What is the Maharashtra Act II of 1976?,1
What did the Supreme Court say about the importance of compliance with Section 52A of the NDPS Act?,0
What can the President do if he is satisfied that it is no longer necessary for the Governor to have special responsibility with respect to law and order in the State of Arunachal Pradesh?,1
What did the Supreme Court say about the adequacy of the sentence imposed by the trial court?,0
Procedure to apply for custody.,0
What was the significance of Clause 2.2.8 of the RFQ documents in this case?,1
Who has the final decision in the exercise of his individual judgment according to the clause?,1
Who receives the same salaries and allowances as the Speaker of the Constituent Assembly of the Dominion of India did immediately before the commencement of the Constitution?,1
Explain the law about warrant.,0
What was the role of Ankush Jain and Vaibhav Jain in the alleged money laundering case?,0
What is the effect on the salary of a High Court Judge if they are receiving a pension at the time of their appointment?,1
Why did Raziya Khanam file Civil Suit No. 591 of 1979?,1
What was the High Court's decision regarding the custody of Sumaiya Khanam?,1
"Who swears to 'faithfully execute the office of President (or discharge the functions of the President) of India and will to the best of my ability preserve, protect and defend the Constitution and the law and that I will devote myself to the service and well-being of the people of India'?",1
What was the appellant's argument regarding the school admission form of Nishant Solanki?,0
What was the main legal issue in the case of State Through Central Bureau of Investigation vs Hemendhra Reddy & Anr.?,0
"Which item of the Indian Constitution discusses the extension of the powers and jurisdiction of members of a police force belonging to any State to any area outside that State, and the extension of these powers to railway areas outside that State?",1
What was the Supreme Court's interpretation of Section 167(2) of the CrPC in the case of Serious Fraud Investigation Office vs. Rahul Modi & Ors.?,0
What was the judgment of the Motor Accident Claims Tribunal (MACT) regarding the accident involving Narasa Reddy?,2
What was the basis of the prosecution's case?,0
On what grounds did the High Court remand the case back to the Trial Court in its order dated 28th April 2020?,1
Can a license be refused to a money-lender or trader who has been doing business before the regulations were made?,1
How did the Supreme Court address the issue of other officers involved in the same incident being exonerated?,0
What was the total amount for which the dishonoured cheques were issued?,1
What directions did the Supreme Court give to Surendran regarding the payment of fines?,0
What is the significance of the principles of natural justice in administrative actions?,1
What was the Supreme Court's decision regarding the sentence already undergone by Jasbir Singh?,0
What were the main arguments presented by the appellant's counsel against the High Court's decision?,0
"Which act, referenced as Tamil Nadu Act 45 of 1994, reserves seats in educational institutions and appointments or posts in the Services under the State?",1
Which point of the Constitution of India pertains to Union Public Service; All-India Services; Union Public Service Commission?,1
What was the decision of the Trial Court regarding Lalichan?,0
What was the significance of the 'Elephant Corridor' in the Sigur Plateau of Nilgiris District?,1
What did the Supreme Court conclude about the Retirement Deed provided by Mark Alexander Davidson?,1
What future implications does this judgment have for land acquisition compensation cases?,1
What procedural step did the State of Punjab take after the High Court's decision?,1
What specific data did the Director General of Prisons provide in the affidavit?,0
What did the Supreme Court say about the requirement of good faith in insurance contracts in this case?,1
What was the primary issue in the Central Bureau of Investigation vs. M. Sivamani case?,0
What was the Supreme Court's ruling on the issue of compensation for the respondents' land?,1
What was the Supreme Court's decision regarding the bail granted to Resham Chand Kaler?,0
What limitation does sub-section (2) of Section 357 of the Code of Criminal Procedure impose?,0
What procedural requirements do NBFCs need to fulfill under the Kerala Money Lenders Act?,2
What was the decision of the Bombay High Court regarding the writ petition filed by Mrs. Kesharben Murji Patel?,1
What led the High Court to quash the criminal proceedings?,1
What was the primary issue in the case Anu Bhandari vs. Pradip Bhandari?,1
"What does the phrase 'supplemental, incidental and consequential provisions' refer to in the context of parliamentary support for tribunals?",1
What was the outcome of the bail application filed by Mohammed Zubair on 15th July 2022?,0
What expenses are charged upon the Consolidated Fund of India?,1
What were the implications of the Supreme Court's decision for Dr. Prabhugouda's career?,1
What were the Appellant's main arguments against the demand for Entry Tax?,2
"What does the State List or the Concurrent List enumerate, what does the executive power of the autonomous State extend to, what tax is levied by the State of Assam that should be assigned to the autonomous State, what does any reference to a State in the constitution include, and what kind of provisions should be made?",1
What directions did the Supreme Court give regarding the handling of the trial by the Magistrate?,1
What was the final decision of the Supreme Court in the appeals filed by P. Nazeer?,1
What was the Supreme Court's view on the evidence against the respondents in this case?,1
What was the argument of the appellants regarding the taxability of gutkha under state laws?,1
Under what conditions can the state take over the management of any property?,1
How did the Supreme Court view the allegations of dowry demand and cruelty?,0
What argument did Dasanglu Pul present regarding the non-disclosure of her husband's properties?,0
What was the High Court's rationale for granting bail to the accused?,0
What might be the consequences if Santosh Kumar fails to pay the enhanced fine in the case of Santosh @ Santosh Kumar vs State of Kerala?,1
What is the Union responsible for in mines and oilfields?,1
What was the incident that led to the charges against Ashoksinh Jayendrasinh?,0
What power is given to the Legislature of a State with respect to elections?,1
What is the Supreme Court of India comprised of?,1
What is deemed to be a Money Bill?,1
How did the Delhi High Court initially handle the order framing charge against the appellants?,1
What were the key contentions raised by the appellants in the Supreme Court?,1
My neighbor is involved in GST.,2
What impact might the Supreme Court's ruling have on future dowry death cases?,0
What did the petitioners request regarding the records of the CBI Director's appointment process?,1
What did the Supreme Court conclude about the involvement of Pappi @ Mehboob in the crime?,1
What did the Supreme Court decide regarding the conviction of the appellants in Parvat Singh & Ors. vs. State of Madhya Pradesh?,1
What was the Supreme Court's view on the High Court's order for the termination and recovery of benefits?,1
What argument was made regarding individual autonomy and privacy?,1
What year was The Dadra and Nagar Haveli Land Reforms Regulation enacted?,1
"What is Section 38 of the DVC Act, and how does it relate to the case?",1
What was the finding of the Commissioner of Customs regarding the imported MFDs?,0
Who determines its own procedure in the Finance Commission?,1
"What rights does a person have when arrested or detained, including the duration of detention without a magistrate's authority?",0
What were the key criteria for pre-mature release mentioned in G.O.(Ms.) No.64?,1
What was the role of the co-accused in the case?,0
What did the court conclude about the meaning of 'initiated' under Section 24(1) of the 2013 Act?,1
What provision can the Parliament make for the number of seats and delimitation of assembly constituencies in the Legislative Assembly of the State of Sikkim?,1
What was the prosecution's case against the accused?,0
What led to the expansion of the investigation against Shoma Kanti Sen?,0
What is the punishment for ancestral in India?,1
What was the role of Rajinder Kumar in the case against Dashrath Singh Chauhan?,0
How did the Union Public Service Commission (UPSC) respond to Vikash Kumar's request for a scribe?,0
What can an order made under clause (1) specify for the State of Andhra Pradesh?,1
What procedural directive did the Supreme Court give in this case?,1
What was the main issue in the appeal by the Commissioner of Income Tax against M/s Container Corporation of India Ltd.?,1
Where does the Supreme Court deliver its judgment?,1
What could be the potential impact of this judgment on future appeals involving common intention?,0
What was the significance of the doctrine of severability in this case?,1
What action did the Supreme Court take based on the finding of the Juvenile Justice Board in the case of Sanjay Patel & Anr. vs The State of Uttar Pradesh?,1
What previous Supreme Court judgments were referenced in the case of Serious Fraud Investigation Office vs. Rahul Modi & Ors.?,0
Why did the court find the first dying declaration suspicious?,0
What was the award amount decided in favor of Manoj Kumar Agrawal by Nepa Limited?,0
What were the grounds of challenge against the High Court's decision?,1
What were the charges against the second respondent in the case 'Bhoopendra Singh vs. State of Rajasthan & Anr.'?,0
What was the main issue in the case of V. Rajaram vs. State Represented by the Inspector of Police CBI/SCB?,0
What legal provisions were cited for the prosecution of S. Athilakshmi?,0
What was the decision of the High Court regarding the civil revision petitions filed by C.S. Ramaswamy?,0
What was the basis for P. Soupramaniane's discharge from service by the State Bank of India?,0
What was the trial court's verdict in the case of Chakarai @ Chakaravarthi?,0
"Which Acts and Schedules specify the territories of Andhra Pradesh, and which territories are excluded?",1
What is the significance of the appellants' multiple legal proceedings over the decades?,1
What did the Supreme Court conclude about the sole reliance on the extra-judicial confession for conviction?,0
How did the Supreme Court interpret the terms of the insurance policy in this case?,1
"How did the Principal District Judge, Tiruchirapalli, rule on appeal regarding the applicability of the Tamil Nadu Hindu Religious and Charitable Endowments Act, 1959?",1
Who is responsible for summoning each House of Parliament?,1
Who appoints the other Ministers?,1
"Which item of the Indian Constitution specifies Terminal taxes on goods or passengers, carried by railway, sea or air, and taxes on railway fares and freights?",1
What was the primary legal issue in the case of Karuppanna Gounder vs. The State Represented by the Inspector of Police?,0
What was Tirtha Sarathi Mukherjee's grievance regarding his examination results?,0
What were the main arguments presented by Prahlad's counsel in the appeal?,0
